unique_id	platform	platform	disease	tissue	cell type	cell line	project	sample	date	descrption
SRX29375952	sra_merge/SRX29375952.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643355	2025	
SRX29375951	sra_merge/SRX29375951.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643356	2025	
SRX29375950	sra_merge/SRX29375950.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643357	2025	
SRX29375949	sra_merge/SRX29375949.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643358	2025	
SRX29375948	sra_merge/SRX29375948.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643359	2025	
SRX29375947	sra_merge/SRX29375947.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643360	2025	
SRX29375946	sra_merge/SRX29375946.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643361	2025	
SRX29375945	sra_merge/SRX29375945.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643362	2025	
SRX29375944	sra_merge/SRX29375944.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643363	2025	
SRX29375943	sra_merge/SRX29375943.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643388	2025	
SRX29375942	sra_merge/SRX29375942.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643389	2025	
SRX29375941	sra_merge/SRX29375941.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643390	2025	
SRX29375940	sra_merge/SRX29375940.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643391	2025	
SRX29375939	sra_merge/SRX29375939.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643392	2025	
SRX29375938	sra_merge/SRX29375938.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643393	2025	
SRX29375937	sra_merge/SRX29375937.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643394	2025	
SRX29375936	sra_merge/SRX29375936.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643395	2025	
SRX29375935	sra_merge/SRX29375935.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643396	2025	
SRX29375934	sra_merge/SRX29375934.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643397	2025	
SRX29375933	sra_merge/SRX29375933.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643398	2025	
SRX29375932	sra_merge/SRX29375932.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643399	2025	
SRX29375931	sra_merge/SRX29375931.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643400	2025	
SRX29375930	sra_merge/SRX29375930.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643401	2025	
SRX29375929	sra_merge/SRX29375929.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643402	2025	
SRX29375928	sra_merge/SRX29375928.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643403	2025	
SRX29375927	sra_merge/SRX29375927.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643404	2025	
SRX29375926	sra_merge/SRX29375926.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643405	2025	
SRX29375925	sra_merge/SRX29375925.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643406	2025	
SRX29375924	sra_merge/SRX29375924.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643407	2025	
SRX29375923	sra_merge/SRX29375923.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643408	2025	
SRX29375922	sra_merge/SRX29375922.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643409	2025	
SRX29375921	sra_merge/SRX29375921.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643410	2025	
SRX29375920	sra_merge/SRX29375920.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643411	2025	
SRX29375919	sra_merge/SRX29375919.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643331	2025	
SRX29375918	sra_merge/SRX29375918.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643332	2025	
SRX29375917	sra_merge/SRX29375917.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643333	2025	
SRX29375916	sra_merge/SRX29375916.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643334	2025	
SRX29375915	sra_merge/SRX29375915.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643335	2025	
SRX29375914	sra_merge/SRX29375914.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643336	2025	
SRX29375913	sra_merge/SRX29375913.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643337	2025	
SRX29375912	sra_merge/SRX29375912.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643338	2025	
SRX29375911	sra_merge/SRX29375911.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643339	2025	
SRX29375910	sra_merge/SRX29375910.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643364	2025	
SRX29375909	sra_merge/SRX29375909.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643365	2025	
SRX29375908	sra_merge/SRX29375908.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643366	2025	
SRX29375907	sra_merge/SRX29375907.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643367	2025	
SRX29375906	sra_merge/SRX29375906.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643368	2025	
SRX29375905	sra_merge/SRX29375905.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643369	2025	
SRX29375904	sra_merge/SRX29375904.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643370	2025	
SRX29375903	sra_merge/SRX29375903.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643371	2025	
SRX29375902	sra_merge/SRX29375902.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643372	2025	
SRX29375901	sra_merge/SRX29375901.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643373	2025	
SRX29375900	sra_merge/SRX29375900.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643374	2025	
SRX29375899	sra_merge/SRX29375899.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643375	2025	
SRX29375898	sra_merge/SRX29375898.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643376	2025	
SRX29375897	sra_merge/SRX29375897.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643377	2025	
SRX29375896	sra_merge/SRX29375896.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643378	2025	
SRX29375895	sra_merge/SRX29375895.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643379	2025	
SRX29375894	sra_merge/SRX29375894.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643380	2025	
SRX29375893	sra_merge/SRX29375893.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643381	2025	
SRX29375892	sra_merge/SRX29375892.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643382	2025	
SRX29375891	sra_merge/SRX29375891.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643383	2025	
SRX29375890	sra_merge/SRX29375890.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643384	2025	
SRX29375889	sra_merge/SRX29375889.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643385	2025	
SRX29375888	sra_merge/SRX29375888.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643386	2025	
SRX29375887	sra_merge/SRX29375887.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643387	2025	
SRX29375886	sra_merge/SRX29375886.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643412	2025	
SRX29375885	sra_merge/SRX29375885.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643413	2025	
SRX29375884	sra_merge/SRX29375884.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643414	2025	
ERX14135867	sra_merge/ERX14135867.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820821	2025	1000G
ERX14135873	sra_merge/ERX14135873.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820827	2025	1000G
ERX14135893	sra_merge/ERX14135893.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820847	2025	1000G
ERX14135893	sra_merge/ERX14135893.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820847	2025	1000G
ERX14135898	sra_merge/ERX14135898.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820852	2025	1000G
ERX14135862	sra_merge/ERX14135862.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820816	2025	1000G
ERX14135889	sra_merge/ERX14135889.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820843	2025	1000G
ERX14135874	sra_merge/ERX14135874.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820828	2025	1000G
ERX14135861	sra_merge/ERX14135861.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820815	2025	1000G
ERX14135861	sra_merge/ERX14135861.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820815	2025	1000G
ERX14135862	sra_merge/ERX14135862.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820816	2025	1000G
ERX14135863	sra_merge/ERX14135863.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820817	2025	1000G
ERX14135863	sra_merge/ERX14135863.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820817	2025	1000G
ERX14135864	sra_merge/ERX14135864.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820818	2025	1000G
ERX14135864	sra_merge/ERX14135864.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820818	2025	1000G
ERX14135865	sra_merge/ERX14135865.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820819	2025	1000G
ERX14135865	sra_merge/ERX14135865.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820819	2025	1000G
ERX14135866	sra_merge/ERX14135866.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820820	2025	1000G
ERX14135866	sra_merge/ERX14135866.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820820	2025	1000G
ERX14135867	sra_merge/ERX14135867.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820821	2025	1000G
ERX14135868	sra_merge/ERX14135868.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820822	2025	1000G
ERX14135868	sra_merge/ERX14135868.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820822	2025	1000G
ERX14135868	sra_merge/ERX14135868.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820822	2025	1000G
ERX14135869	sra_merge/ERX14135869.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820823	2025	1000G
ERX14135869	sra_merge/ERX14135869.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820823	2025	1000G
ERX14135870	sra_merge/ERX14135870.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820824	2025	1000G
ERX14135870	sra_merge/ERX14135870.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820824	2025	1000G
ERX14135871	sra_merge/ERX14135871.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820825	2025	1000G
ERX14135871	sra_merge/ERX14135871.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820825	2025	1000G
ERX14135872	sra_merge/ERX14135872.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820826	2025	1000G
ERX14135872	sra_merge/ERX14135872.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820826	2025	1000G
ERX14135872	sra_merge/ERX14135872.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820826	2025	1000G
ERX14135873	sra_merge/ERX14135873.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820827	2025	1000G
ERX14135873	sra_merge/ERX14135873.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820827	2025	1000G
ERX14135874	sra_merge/ERX14135874.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820828	2025	1000G
ERX14135875	sra_merge/ERX14135875.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820829	2025	1000G
ERX14135875	sra_merge/ERX14135875.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820829	2025	1000G
ERX14135876	sra_merge/ERX14135876.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820830	2025	1000G
ERX14135876	sra_merge/ERX14135876.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820830	2025	1000G
ERX14135877	sra_merge/ERX14135877.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820831	2025	1000G
ERX14135877	sra_merge/ERX14135877.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820831	2025	1000G
ERX14135878	sra_merge/ERX14135878.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820832	2025	1000G
ERX14135878	sra_merge/ERX14135878.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820832	2025	1000G
ERX14135879	sra_merge/ERX14135879.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820833	2025	1000G
ERX14135879	sra_merge/ERX14135879.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820833	2025	1000G
ERX14135879	sra_merge/ERX14135879.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820833	2025	1000G
ERX14135880	sra_merge/ERX14135880.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820834	2025	1000G
ERX14135880	sra_merge/ERX14135880.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820834	2025	1000G
ERX14135881	sra_merge/ERX14135881.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820835	2025	1000G
ERX14135881	sra_merge/ERX14135881.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820835	2025	1000G
ERX14135882	sra_merge/ERX14135882.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820836	2025	1000G
ERX14135882	sra_merge/ERX14135882.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820836	2025	1000G
ERX14135883	sra_merge/ERX14135883.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820837	2025	1000G
ERX14135883	sra_merge/ERX14135883.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820837	2025	1000G
ERX14135884	sra_merge/ERX14135884.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820838	2025	1000G
ERX14135884	sra_merge/ERX14135884.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820838	2025	1000G
ERX14135884	sra_merge/ERX14135884.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820838	2025	1000G
ERX14135885	sra_merge/ERX14135885.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820839	2025	1000G
ERX14135885	sra_merge/ERX14135885.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820839	2025	1000G
ERX14135886	sra_merge/ERX14135886.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820840	2025	1000G
ERX14135886	sra_merge/ERX14135886.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820840	2025	1000G
ERX14135887	sra_merge/ERX14135887.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820841	2025	1000G
ERX14135887	sra_merge/ERX14135887.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820841	2025	1000G
ERX14135888	sra_merge/ERX14135888.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820842	2025	1000G
ERX14135888	sra_merge/ERX14135888.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820842	2025	1000G
ERX14135889	sra_merge/ERX14135889.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820843	2025	1000G
ERX14135890	sra_merge/ERX14135890.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820844	2025	1000G
ERX14135890	sra_merge/ERX14135890.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820844	2025	1000G
ERX14135891	sra_merge/ERX14135891.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820845	2025	1000G
ERX14135891	sra_merge/ERX14135891.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820845	2025	1000G
ERX14135892	sra_merge/ERX14135892.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820846	2025	1000G
ERX14135892	sra_merge/ERX14135892.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820846	2025	1000G
ERX14135893	sra_merge/ERX14135893.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820847	2025	1000G
ERX14135894	sra_merge/ERX14135894.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820848	2025	1000G
ERX14135894	sra_merge/ERX14135894.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820848	2025	1000G
ERX14135894	sra_merge/ERX14135894.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820848	2025	1000G
ERX14135895	sra_merge/ERX14135895.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820849	2025	1000G
ERX14135895	sra_merge/ERX14135895.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820849	2025	1000G
ERX14135896	sra_merge/ERX14135896.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820850	2025	1000G
ERX14135896	sra_merge/ERX14135896.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820850	2025	1000G
ERX14135897	sra_merge/ERX14135897.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820851	2025	1000G
ERX14135897	sra_merge/ERX14135897.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820851	2025	1000G
ERX14135898	sra_merge/ERX14135898.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820852	2025	1000G
ERX14135899	sra_merge/ERX14135899.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820853	2025	1000G
ERX14135899	sra_merge/ERX14135899.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820853	2025	1000G
ERX14135899	sra_merge/ERX14135899.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820853	2025	1000G
ERX14135900	sra_merge/ERX14135900.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820854	2025	1000G
ERX14135900	sra_merge/ERX14135900.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820854	2025	1000G
ERX14135901	sra_merge/ERX14135901.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820855	2025	1000G
ERX14135901	sra_merge/ERX14135901.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820855	2025	1000G
ERX14135902	sra_merge/ERX14135902.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820856	2025	1000G
ERX14135902	sra_merge/ERX14135902.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820856	2025	1000G
ERX14135903	sra_merge/ERX14135903.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820857	2025	1000G
ERX14135903	sra_merge/ERX14135903.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820857	2025	1000G
ERX14135904	sra_merge/ERX14135904.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820858	2025	1000G
ERX14135904	sra_merge/ERX14135904.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820858	2025	1000G
ERX14135905	sra_merge/ERX14135905.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820859	2025	1000G
ERX14135905	sra_merge/ERX14135905.isoform.gz	ONT	normal	blood		cell line	PRJEB87045	SAMEA117820859	2025	1000G
SRX29162053	sra_merge/SRX29162053.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038942	2025	
SRX29162052	sra_merge/SRX29162052.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038943	2025	
SRX29162051	sra_merge/SRX29162051.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038944	2025	
SRX29162050	sra_merge/SRX29162050.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038945	2025	
SRX29162049	sra_merge/SRX29162049.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038946	2025	
SRX29162048	sra_merge/SRX29162048.isoform.gz	ONT	normal	blood		NA	PRJNA1275820	SAMN49038947	2025	
SRX29162047	sra_merge/SRX29162047.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038948	2025	
SRX29162046	sra_merge/SRX29162046.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038949	2025	
SRX29162045	sra_merge/SRX29162045.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038950	2025	
SRX29162044	sra_merge/SRX29162044.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038951	2025	
SRX29162043	sra_merge/SRX29162043.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038952	2025	
SRX29162042	sra_merge/SRX29162042.isoform.gz	ONT	Ankylosing spondylitis	blood		NA	PRJNA1275820	SAMN49038953	2025	
ERX13498253	sra_merge/ERX13498253.isoform.gz	PB	colorectal adenocarcinoma	Colorectum		cell line	PRJEB83809	SAMEA117558915	2025	
ERX13498252	sra_merge/ERX13498252.isoform.gz	PB	colorectal adenocarcinoma	Colorectum		cell line	PRJEB83809	SAMEA117558914	2025	
ERX13498256	sra_merge/ERX13498256.isoform.gz	PB	colorectal adenocarcinoma	Colorectum		cell line	PRJEB83809	SAMEA117558918	2025	
ERX13498257	sra_merge/ERX13498257.isoform.gz	PB	colorectal adenocarcinoma	Colorectum		cell line	PRJEB83809	SAMEA117558919	2025	
SRX28916754	sra_merge/SRX28916754.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720795	2025	
SRX28916753	sra_merge/SRX28916753.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720794	2025	
SRX28916752	sra_merge/SRX28916752.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720793	2025	
SRX28916751	sra_merge/SRX28916751.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720792	2025	
SRX28916750	sra_merge/SRX28916750.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720791	2025	
SRX28916749	sra_merge/SRX28916749.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720790	2025	
SRX28916748	sra_merge/SRX28916748.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720789	2025	
SRX28916747	sra_merge/SRX28916747.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720809	2025	
SRX28916746	sra_merge/SRX28916746.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720808	2025	
SRX28916745	sra_merge/SRX28916745.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720807	2025	
SRX28916744	sra_merge/SRX28916744.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720806	2025	
SRX28916743	sra_merge/SRX28916743.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720788	2025	
SRX28916742	sra_merge/SRX28916742.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720805	2025	
SRX28916741	sra_merge/SRX28916741.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720804	2025	
SRX28916740	sra_merge/SRX28916740.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720803	2025	
SRX28916739	sra_merge/SRX28916739.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720802	2025	
SRX28916738	sra_merge/SRX28916738.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720801	2025	
SRX28916737	sra_merge/SRX28916737.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720800	2025	
SRX28916736	sra_merge/SRX28916736.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720799	2025	
SRX28916735	sra_merge/SRX28916735.isoform.gz	ONT	glioma	brain		NA	PRJNA1267462	SAMN48720798	2025	
